session,point_cloud_count,point_cloud_size_bytes,point_cloud_size,raw_scan_count,raw_scan_size_bytes,raw_scan_size,thumbnail_count,frame_count,sampled_images,images_placed,contact_sheet,point_cloud_files,raw_scan_files
20260710222125,1,336450713,320.86 MB,4,559512511,533.59 MB,0,0,0,0,contact_sheets/20260710222125_contact_sheet.jpg,20260710222125/recalculate_result.las,20260710222125/IMAGE_20260710222125_0.bag | 20260710222125/LIDAR_20260710222125_0.bag | 20260710222125/recalculate_result.amap | 20260710222125/recalculate_result.amx
20260710222318,1,98085911,93.54 MB,4,140106788,133.62 MB,2,0,2,2,contact_sheets/20260710222318_contact_sheet.jpg,20260710222318/recalculate_result.las,20260710222318/IMAGE_20260710222318_0.bag | 20260710222318/LIDAR_20260710222318_0.bag | 20260710222318/recalculate_result.amap | 20260710222318/recalculate_result.amx
20260710222414,1,134276091,128.06 MB,4,196764601,187.65 MB,2,0,2,2,contact_sheets/20260710222414_contact_sheet.jpg,20260710222414/recalculate_result.las,20260710222414/IMAGE_20260710222414_0.bag | 20260710222414/LIDAR_20260710222414_0.bag | 20260710222414/recalculate_result.amap | 20260710222414/recalculate_result.amx
20260710222718,1,719678753,686.34 MB,4,1661228934,1.55 GB,2,0,2,2,contact_sheets/20260710222718_contact_sheet.jpg,20260710222718/recalculate_result.las,20260710222718/IMAGE_20260710222718_0.bag | 20260710222718/LIDAR_20260710222718_0.bag | 20260710222718/recalculate_result.amap | 20260710222718/recalculate_result.amx
20260710223037,1,1095422303,1.02 GB,5,2792758518,2.60 GB,2,829,26,26,contact_sheets/20260710223037_contact_sheet.jpg,20260710223037/recalculate_result.las,20260710223037/IMAGE_20260710223037_0.bag | 20260710223037/LIDAR_20260710223037_0.bag | 20260710223037/recalculate_result.amap | 20260710223037/recalculate_result.amx | 20260710223037/shading/livo_result.amap
