contamination_flag,core_extent_x_p0_5_p99_5,core_extent_x_p1_p99,core_extent_y_p0_5_p99_5,core_extent_y_p1_p99,core_extent_z_p0_5_p99_5,core_extent_z_p1_p99,core_xy_area_p1_p99,file_size,file_size_bytes,median_x,median_y,median_z,plan_density_image,point_count,raw_extent_x,raw_extent_y,raw_extent_z,raw_xy_area,relative_path,robust_density_proxy,sample_count,sample_outside_core_share,session,x_p0_05,x_p0_1,x_p0_5,x_p1,x_p5,x_p50,x_p95,x_p99,x_p99_5,x_p99_9,x_p99_95,xy_inflation_ratio,xz_density_image,y_p0_05,y_p0_1,y_p0_5,y_p1,y_p5,y_p50,y_p95,y_p99,y_p99_5,y_p99_9,y_p99_95,yz_density_image,z_inflation_ratio,z_p0_05,z_p0_1,z_p0_5,z_p1,z_p5,z_p50,z_p95,z_p99,z_p99_5,z_p99_9,z_p99_95
low,9.408000000000001,8.615,8.185,7.558999999999999,2.636,2.5700000000000003,65.120785,93.54 MB,98085911,-0.278,-0.046,0.924,images/20260710222318_plan_density.png,3772526,10.682,9.15,3.684,97.7403,20260710222318/recalculate_result.las,57931.21197786544,1886263,0.05695123108495475,20260710222318,-4.739,-4.6797379999999995,-4.216,-3.857,-2.47,-0.278,3.517,4.758,5.192,5.566,5.620869000000181,1.500907889854215,images/20260710222318_xz_density.png,-5.634,-5.5440000000000005,-4.992,-4.563,-3.289,-0.046,2.279,2.996,3.193,3.311,3.331,images/20260710222318_yz_density.png,1.4334630350194553,-1.552,-1.547,-1.528,-1.477,-1.0150000000000001,0.924,1.053,1.093,1.108,1.1387380000001286,1.155
moderate,10.921560000000056,9.801,10.25956,9.271,2.795,2.718,90.86507100000001,128.06 MB,134276091,-0.052000000000000005,-0.449,0.493,images/20260710222414_plan_density.png,5164456,17.823,21.963,4.245,391.446549,20260710222414/recalculate_result.las,56836.53733127,1721489,0.05817173388851163,20260710222414,-7.9292560000000005,-6.689512000000001,-5.296,-4.797,-3.231,-0.052000000000000005,2.144,5.0040000000000004,5.625560000000056,6.314,6.413256000000052,4.307998053509472,images/20260710222414_xz_density.png,-6.975256000000001,-5.835,-5.55356,-5.144,-4.375,-0.449,2.38,4.127,4.706,5.001,5.0680000000000005,images/20260710222414_yz_density.png,1.5618101545253864,-1.609,-1.596,-1.5,-1.45,-1.034,0.493,1.196,1.268,1.295,1.393,1.414
moderate,112.62208000000004,106.49008000000008,38.55500000000001,34.119080000000075,15.535,14.067,3633.3435587264107,1.02 GB,1095422303,38.92,8.76,2.959,images/20260710223037_plan_density.png,42131618,170.53,164.661,56.868,28079.640330000002,20260710223037/recalculate_result.las,11595.825530676851,1915093,0.05271493342620959,20260710223037,-24.051178,-19.054000000000002,-12.901539999999999,-9.861,0.1496000000000058,38.92,87.671,96.62908000000007,99.72054000000004,107.7389080000003,112.2100860000013,7.728319625200185,images/20260710223037_xz_density.png,-29.002,-15.251,-9.495000000000001,-7.073,-2.069,8.76,18.824,27.046080000000075,29.060000000000002,37.598172000002585,56.27336200000043,images/20260710223037_yz_density.png,4.042653017701002,-1.986,-1.965,-1.862,-1.7830000000000001,-1.399,2.959,9.382,12.284,13.673,17.063,18.596178000001004
high,20.256,18.816000000000003,9.851804999999999,9.11760999999987,6.872,6.013,171.55694975999756,320.86 MB,336450713,-0.47600000000000003,0.616,0.684,images/20260710222125_plan_density.png,12940403,107.84,68.552,60.887,7392.647680000001,20260710222125/recalculate_result.las,75429.19723219136,1848640,0.055208693958802145,20260710222125,-8.413,-8.356,-8.217,-8.063,-6.1930000000000005,-0.47600000000000003,6.323,10.753,12.039,18.242722000000533,20.240000000000002,43.09150804057818,images/20260710222125_xz_density.png,-6.705680500000001,-6.08,-4.647805,-4.354,-3.083,0.616,3.7840000000000003,4.763609999999869,5.204,8.275361000000267,9.236,images/20260710222125_yz_density.png,10.125893896557459,-1.6540000000000001,-1.565,-1.5190000000000001,-1.466,-1.093,0.684,1.8780000000000001,4.547,5.353,6.723,7.138
high,53.61450000000001,45.667,48.483000000000004,41.164500000000004,11.925,10.4775,1879.8592215000003,686.34 MB,719678753,3.6670000000000003,-0.9540000000000001,-0.743,images/20260710222718_plan_density.png,27679943,151.026,159.82999999999998,61.512,24138.48558,20260710222718/recalculate_result.las,14724.476537085198,1977151,0.04850565283076508,20260710222718,-32.89185,-29.81385,-20.347250000000003,-16.152,-6.547,3.6670000000000003,23.461000000000002,29.515,33.267250000000004,39.921,44.047000000000004,12.840581520109321,images/20260710222718_xz_density.png,-35.58585,-31.7864,-26.479,-21.357,-13.279,-0.9540000000000001,9.902000000000001,19.8075,22.004,30.166400000001307,37.254950000000655,images/20260710222718_yz_density.png,5.870866141732284,-5.803,-5.62,-5.289,-5.194,-4.585,-0.743,2.774,5.2835,6.636,12.335550000000978,14.268125000000234
