match_type,size_bytes,signature,file_count,files
Exact SHA-256,6274,f18573cd3cac535f0e66b55f372f0ffccc84102f1220e9d70a77482eefc315c0,5,20260710222125/calibration/calib.json | 20260710222318/calibration/calib.json | 20260710222414/calibration/calib.json | 20260710222718/calibration/calib.json | 20260710223037/calibration/calib.json
Exact SHA-256,60,926b304a8b4ce370968683bc9a7b484be02c692082ab8ce3463f9237b74f44cd,5,20260710222125/camera_parameters.json | 20260710222318/camera_parameters.json | 20260710222414/camera_parameters.json | 20260710222718/camera_parameters.json | 20260710223037/camera_parameters.json
