session,relative_path,file_size_bytes,file_size,point_count,sample_count,x_lo,x_hi,y_lo,y_hi,z_lo,z_hi,extent_x,extent_y,extent_z,area_xy,center_x,center_y,center_z
20260710222125,20260710222125/recalculate_result.las,336450713,320.86 MB,12940403,1437834,-8.216,12.001,-4.644,5.160834999999963,-1.46567,4.5200000000000005,20.217,9.804834999999963,5.985670000000001,198.22434919499923,-0.498,0.615,0.681
20260710222318,20260710222318/recalculate_result.las,98085911,93.54 MB,3772526,1257511,-4.216,5.192,-4.9910000000000005,3.193,-1.477,1.093,9.408000000000001,8.184000000000001,2.5700000000000003,76.99507200000002,-0.327,-0.015,0.9450000000000001
20260710222414,20260710222414/recalculate_result.las,134276091,128.06 MB,5164456,1291114,-5.301,5.6370000000000005,-5.5520000000000005,4.706,-1.451,1.268,10.938,10.258000000000001,2.7190000000000003,112.20200400000002,-0.058,-0.427,0.498
20260710222718,20260710222718/recalculate_result.las,719678753,686.34 MB,27679943,1456851,-20.386,33.22075,-26.506,22.04375,-5.1930000000000005,5.29,53.606750000000005,48.54975,10.483,2602.5943108125,3.444,-0.927,-0.751
20260710223037,20260710223037/recalculate_result.las,1095422303,1.02 GB,42131618,1452825,-12.901,99.68087999999989,-9.50188,29.176879999999887,-1.784,12.271,112.58187999999988,38.67875999999988,14.055000000000001,4354.527516868782,39.276,8.708,2.948
