session,native_core_xyz,approximate_feet_xyz,median_center_xyz
20260710222125,20.217 × 9.805 × 5.986,66.329 × 32.168 × 19.638,"-0.498, 0.615, 0.681"
20260710222318,9.408 × 8.184 × 2.570,30.866 × 26.850 × 8.432,"-0.327, -0.015, 0.945"
20260710222414,10.938 × 10.258 × 2.719,35.886 × 33.655 × 8.921,"-0.058, -0.427, 0.498"
20260710222718,53.607 × 48.550 × 10.483,175.875 × 159.284 × 34.393,"3.444, -0.927, -0.751"
20260710223037,112.582 × 38.679 × 14.055,369.363 × 126.899 × 46.112,"39.276, 8.708, 2.948"
